<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20050315,430.44,431,427,430.78,18714
20050316,430.02,452,414,434.46,2331443
20050326,434.46,443,434,434.46,8098
20050327,442.66,443,434,434.46,23782
20050328,443.33,448,435,434.63,38882
20050329,455.88,456,435,434.96,47727
20050330,456.63,457,427,437.39,4923540
20050403,437.55,448,438,437.64,78078
20050404,437.89,459,435,437.89,739649
20050405,439.4,443,438,438.06,218130
20050406,438.06,443,436,438.14,215835
20050410,438.06,445,438,438.31,445791
20050411,440.99,444,438,438.98,1937344
20050412,443.5,461,443,460.48,9915367
20050413,483.49,483,483,483.49,4679540
20050416,507.59,508,494,493.54,2368095
20050417,502.07,502,469,493.37,327047
20050418,480.82,490,469,489.85,398412
20050419,465.42,489,465,488.51,151197
20050420,465.34,485,464,478.31,5502882
20050423,476.97,502,477,478.72,335298
20050424,465.25,485,455,477.72,4743222
20050425,477.72,490,478,478.56,28037644
20050427,478.89,490,479,479.14,1044798
20050430,481.32,483,475,478.64,986071
20050501,478.47,479,469,477.72,575546
20050502,471.86,477,468,477.39,163644
20050503,477.8,478,471,477.22,5420162
20050504,475.04,484,473,476.46,12896597
20050507,474.54,477,473,476.38,363314
20050508,472.78,476,469,476.05,217572
20050509,471.95,479,470,475.46,4781366
20050510,475.71,480,473,475.46,4695135
20050511,481.57,485,474,476.21,9435116
20050516,495.38,499,484,489.6,772280
20050517,487.85,494,481,489.77,2717655
20050518,489.77,495,487,490.69,4118289
20050521,491.95,501,491,492.61,1209977
20050522,492.7,497,490,492.03,2396153
20050523,493.54,498,492,492.78,4414570
20050524,493.7,507,494,501.4,22241114
20050525,502.07,507,501,502.24,1988345
20050528,502.91,516,503,509.43,4676800
20050529,515.29,515,510,511.02,2519404
20050530,511.78,519,511,512.7,1108713
20050531,511.61,512,502,510.52,1276192
20050601,510.44,514,506,510.02,904004
20050608,514.54,515,502,508.01,675007
20050611,507.93,508,495,506.17,648292
20050612,499.64,505,495,504.58,467565
20050613,494.29,500,491,500.06,3904922
20050614,489.85,497,490,497.38,886006
20050615,496.63,502,495,498.64,4285868
20050618,497.05,512,497,505.33,1630258
20050619,503.74,504,490,502.24,613893
20050620,496.97,506,497,502.15,471884
20050621,502.15,512,502,504.83,549225
20050622,507.26,527,507,513.45,7534773
20050625,489.52,515,488,494.04,1847353
20050626,518.72,519,486,496.97,2416814
20050627,518.72,522,502,501.65,1116925
20050628,517.05,519,506,506.34,4238798
20050629,510.44,518,509,508.6,13451903
20050702,512.11,517,506,510.35,1168746
20050703,512.11,512,490,506.92,1425740
20050704,497.38,503,490,503.49,3675301
20050705,497.47,518,491,500.48,12318862
20050706,501.74,502,494,498.97,1091407
20050709,499.89,514,498,502.49,3238118
20050815,297.06,334,285,291.87,573186
20050816,291.87,300,289,292.54,868846
20050817,295.13,295,292,292.54,724193
20050820,292.87,307,293,293.79,2025065
20050821,306.77,307,296,295.89,1033659
20050822,303.42,307,298,297.56,1759511
20050823,304.51,306,299,298.73,1811325
20050824,305.34,305,299,299.32,1983279
20050827,301.24,314,300,300.91,1013048
20050828,304.59,313,302,302,1587519
20050829,312.2,316,303,303.67,786131
20050830,305.43,315,304,304.42,834352
20050831,304.67,312,305,305.01,562088
20050903,309.61,311,300,305.01,717090
20050904,301.24,307,297,304.84,419527
20050905,304.84,305,291,303.75,675057
20050906,291.28,302,291,302.41,452346
20050907,292.87,302,291,301.58,847406
20050910,292.87,301,291,300.66,380407
20050911,293.96,300,291,299.99,1315324
20050912,292.79,299,291,299.23,804661
20050913,291.2,298,291,298.31,407255
20050914,291.28,298,291,297.98,195879
20050917,292.79,301,291,297.81,24434428
20050918,296.89,297,291,297.48,253617
20050919,291.2,297,291,296.81,384683
20050921,292.46,296,291,296.31,319855
20050924,291.28,296,291,295.89,319689
20050925,288.69,295,289,294.72,970560
20050926,288.69,294,280,293.63,1045096
20050927,278.98,291,279,291.2,1041316
20050928,284.51,289,285,289.36,1067207
20051001,284.51,289,285,288.52,648772
20051002,284.51,288,285,288.02,441633
20051003,284.51,288,285,287.6,473442
20051004,284.51,287,285,287.18,468359
20051005,284.51,287,278,287.02,125088
20051008,282,287,276,286.85,195602
20051009,282.83,286,277,286.26,351738
20051010,284.42,286,281,286.1,169201
20051011,284.42,286,273,285.76,15507679
20051012,283.42,285,273,285.01,1139124
20051015,284.17,284,274,284.42,281968
20051016,279.23,284,276,284.17,145019
20051017,278.65,284,274,284,285499
20051018,276.14,283,273,283.08,2136198
20051019,272.88,283,273,282.83,155682
20051022,275.64,282,273,282.25,229932
20051023,272.96,281,273,281.33,401750
20051024,272.96,281,273,280.66,332293
20051026,272.88,282,273,279.4,672817
20051029,273.04,279,273,278.82,367185
20051030,272.88,278,273,278.31,354024
20051031,272.88,278,273,277.56,525262
20051101,272.88,277,273,276.72,730884
20051102,272.79,276,263,276.06,517280
20051105,272.96,276,273,275.72,371822
20051106,272.96,275,273,275.39,404384
20051107,272.96,275,273,275.13,429098
20051108,272.79,275,264,274.63,388727
20051109,271.95,275,268,274.55,50123
20051112,270.7,275,261,274.3,406372
20051113,274.3,275,267,274.13,415361
20051114,274.47,275,274,274.13,396713
20051115,274.21,274,274,274.13,272774
20051116,274.21,288,274,274.13,5194266
20051119,274.21,274,274,274.13,258706
20051120,274.13,274,274,274.13,17131731
20051121,267.77,274,268,274.13,243196
20051122,274.21,274,274,274.13,1214344
20051123,274.38,280,274,274.21,889116
20051126,291.2,305,278,277.64,534547
20051127,302.92,306,280,279.99,462134
20051129,301.16,301,274,281.16,12076107
20051130,296.14,296,283,282.92,858049
20051203,284.67,295,285,285.43,1299191
20051204,299.65,300,300,299.65,51641576
20051205,314.63,315,289,310.03,4394233
20051206,306.26,307,295,307.35,1038960
20051210,295.38,303,292,303.25,1098796
20051211,292.12,305,292,302.83,483924
20051212,299.32,303,299,302.83,795621
20051213,302.83,303,303,302.83,449787
20051214,302.92,303,303,302.83,481843
20051218,303.75,307,304,304,1348679
20051219,305.34,305,304,304,805235
20051220,304.17,304,304,304,579777
20051221,304.09,305,304,304,1827353
20051224,304.09,305,302,304.09,1342731
20051225,305.43,307,304,304.34,1614190
20051226,304.25,305,304,304.42,2650297
20051227,304.42,305,304,304.42,6573327
20051228,304.76,306,305,304.84,2054918
20051231,307.77,308,305,305.26,5147657
20060101,307.18,310,306,306.01,805452
20060102,310.45,311,307,306.93,1106779
20060103,311.28,311,309,308.77,4567870
20060104,312.12,312,309,309.11,4763454
20060107,313.79,314,310,310.03,828702
20060108,314.63,315,311,311.03,893574
20060109,315.05,318,313,313.46,1936200
20060110,318.9,319,314,314.21,579704
20060114,323.17,323,317,316.97,1282208
20060115,325.68,326,320,319.74,1217506
20060116,325.68,326,322,321.74,1421402
20060117,325.59,326,323,323.08,1481858
20060122,325.59,326,324,323.92,5093414
20060123,325.34,325,322,324.34,13721911
20060124,325.34,325,325,324.59,3638821
20060125,325.43,326,325,324.76,5172834
20060128,325.76,326,325,324.92,3776750
20060129,325.76,326,325,325.09,8386368
20060130,325.51,326,325,325.09,5916672
20060131,325.51,326,325,325.17,1298296
20060201,325.51,326,325,325.17,26754552
20060204,325.51,326,325,325.17,872857
20060205,325.51,326,325,325.26,31766718
20060206,315.47,322,315,321.83,36467506
20060207,321.91,322,322,321.83,1460427
20060212,321.91,322,322,321.83,1221679
20060213,321.41,321,306,320.74,280218
20060214,320.74,321,314,320.66,2039909
20060215,320.66,321,321,320.66,798628
20060218,320.74,321,321,320.66,863309
20060219,320.74,321,321,320.66,745500
20060220,320.82,321,321,320.66,1412061
20060221,320.82,321,321,320.66,3243919
20060222,320.82,321,321,320.66,668360
20060225,320.82,321,321,320.66,1397108
20060226,320.82,321,321,320.66,670937
20060227,322.16,322,321,320.91,8247220
20060228,322.58,323,321,321.07,1333003
20060301,322.75,323,321,321.33,2723159
20060304,322.75,323,321,321.49,1452569
20060305,322.75,323,322,321.66,1297276
20060306,324.17,324,322,321.91,447541
20060307,324.59,325,322,322.25,1404791
20060308,325.43,326,323,322.66,535140
20060311,325.26,325,323,323,472140
20060312,325.51,326,323,323.25,27357643
20060313,325.51,326,324,323.58,520188
20060314,325.51,326,324,323.75,440026
20060315,326.35,326,324,323.92,379351
20060318,328.02,328,324,324.25,364271
20060319,328.1,328,326,326.01,1850215
20060325,328.1,328,326,326.35,1060453
20060326,328.44,329,327,326.6,471209
20060327,329.11,329,327,326.85,866702
20060328,329.11,329,327,327.1,474435
20060403,329.11,329,327,327.27,339846
20060404,329.69,330,328,327.52,2043246
20060405,329.86,330,328,328.27,1339370
20060408,330.53,331,329,329.27,2414788
20060409,333.12,334,333,333.04,11044686
20060410,336.39,336,336,336.39,7615297
20060411,339.73,340,340,339.73,13215829
20060412,340.65,347,341,344.84,8536154
20060415,351.2,352,347,348.35,2807393
20060417,351.62,352,343,347.68,2380180
20060418,344.76,346,343,345.93,1607464
20060419,343.08,345,343,345.09,1826073
20060422,343.08,344,343,344.42,2725374
20060423,343.08,344,343,344,4058552
20060424,343.08,344,343,343.75,945945
20060425,343.08,344,343,343.58,1964942
20060426,343.08,343,343,343.42,1231370
20060429,343.08,343,343,343.33,1526781
20060430,343.17,343,343,343.25,1785958
20060501,343.17,343,343,343.17,1027466
20060502,343.17,343,343,343.17,1637903
20060503,343.17,343,343,343.17,3678552
20060506,343.17,343,343,343.17,1906166
20060507,343.33,343,343,343.17,1574873
20060508,343.33,343,336,343.17,7560292
20060509,343.33,343,343,343.17,1082517
20060510,343.33,343,343,343.17,2314706
20060513,343.42,350,343,345.34,5418917
20060514,352.2,352,346,346.85,3424212
20060515,351.45,352,340,348.77,19994874
20060516,349.36,351,349,348.86,7677744
20060517,349.02,351,349,348.94,4837997
20060520,348.94,356,349,349.02,8085504
20060521,349.44,352,349,349.19,4208673
20060522,350.19,350,349,349.36,1261852
20060523,350.86,351,350,349.69,2174611
20060524,351.45,352,350,350.28,2324198
20060527,351.95,356,351,350.78,1603725
20060528,354.04,358,353,352.79,2946192
20060529,353.96,360,354,353.79,2519247
20060530,358.14,360,355,355.3,4830620
20060531,358.31,362,358,357.64,4032482
20060603,362.49,365,359,359.23,4328905
20060606,361.99,366,362,361.91,5416959
20060607,365.67,369,366,365.76,4429555
20060610,372.29,373,370,370.28,3274833
20060611,376.55,378,376,376.13,5024672
20060612,383.58,384,377,381.07,6630907
20060613,381.07,386,381,381.16,1998965
20060614,381.24,381,381,381.16,1271230
20060617,381.24,381,374,378.56,54368718
20060618,378.64,379,371,374.04,4058521
20060619,374.04,374,367,369.36,5625344
20060620,369.36,369,363,367.85,2802118
20060621,367.85,369,368,367.85,1602932
20060624,368.18,375,368,370.11,2223976
20060625,376.55,377,377,377.39,6627799
20060626,384.92,385,379,380.65,3280727
20060627,382.33,382,377,379.65,1706440
20060628,376.55,379,377,378.81,2225358
20060701,376.55,377,371,377.39,1624661
20060702,376.55,377,370,374.21,2582064
20060703,374.21,374,367,370.61,2979683
20060704,370.61,371,363,366.18,4515234
20060716,366.76,372,360,365.84,264152
20060717,365.84,366,359,363.83,2666314
20060718,358.98,362,357,362.49,1708238
20060719,360.9,361,356,360.99,3315560
20060722,359.57,360,356,359.15,2756674
20060723,358.98,364,359,360.15,12396650
20060904,325.26,335,316,323.08,2783312
20060905,321.24,323,317,322.83,167921
20060906,316.39,323,316,322.75,54203
20060910,316.3,322,316,322.5,118144
20060911,316.05,316,316,316.05,7071326
20060912,309.78,315,310,309.86,5799745
20060913,306.26,315,304,310.45,29772789
20060916,316.64,317,312,311.95,7237667
20060917,317.14,318,312,312.71,8137209
20060918,313.04,315,307,312.04,3197198
20060919,306.51,311,306,310.61,980357
20060920,304.42,310,304,309.53,3232840
20060923,304.25,309,304,308.94,465781
20060924,304.59,308,303,308.27,494525
20060925,305.43,308,303,307.52,1786137
20060926,304.25,306,301,306.43,787514
20060927,301.41,306,300,305.84,470513
20060930,303.59,305,300,305.09,815333
20061001,301.24,305,301,304.51,589551
20061002,303.17,304,300,303.92,1002275
20061003,300.74,303,298,303.25,575214
20061004,300.41,302,297,302.25,705168
20061007,297.39,302,296,301.91,199235
20061008,295.89,302,296,301.74,68469
20061009,295.72,302,296,301.66,25848
20061010,295.64,302,296,301.58,57405
20061011,295.55,301,296,301.16,320250
20061014,295.22,301,295,301.07,73828
20061016,295.13,301,295,300.91,132804
20061017,294.97,301,295,300.91,20897
20061018,294.97,301,295,300.82,84261
20061021,294.88,301,295,300.82,19606
20061022,294.88,296,295,294.88,4583055
20061023,292.87,297,289,294.8,1739329
20061028,292.96,294,290,294.38,507378
20061029,289.69,294,289,293.79,50500423
20061030,288.69,297,288,292.62,6289790
20061031,286.85,293,287,291.87,581253
20061101,287.69,291,286,291.28,746109
20061104,286.18,290,286,290.28,2253583
20061105,287.6,290,285,289.86,327897
20061106,284.59,289,284,289.28,1434971
20061107,283.75,288,284,288.02,1190117
20061108,284.42,287,282,287.27,4051581
20061111,287.27,289,285,287.27,268169
20061112,285.34,293,285,287.35,314106
20061113,288.69,293,287,287.6,300770
20061114,288.19,293,288,287.94,57183598
20061115,288.77,293,288,288.19,713501
20061118,288.19,288,282,287.85,357238
20061119,286.26,288,282,287.69,151143
20061120,282,288,282,287.52,117972
20061121,281.83,286,282,285.68,1360943
20061122,281.91,285,280,285.01,737339
20061125,279.32,285,279,284.76,193677
20061126,279.07,284,279,283.59,859455
20061127,278.06,283,278,282.92,522897
20061128,277.31,283,277,282.75,137583
20061129,277.14,283,277,282.58,150795
20061202,276.98,283,277,282.58,26561
20061203,276.98,282,277,282.5,90794
20061204,276.89,282,277,282.41,71940
20061205,276.81,282,277,282.33,32348
20061206,276.72,282,277,282.25,91702
20061209,276.64,282,277,282.16,86950
20061210,276.56,282,277,282.08,46660
20061211,276.47,280,276,278.23,2935783
20061212,278.65,281,278,278.4,869734
20061213,279.07,280,278,278.48,478456
20061216,279.49,280,279,278.57,325238
20061217,279.57,280,279,278.82,633611
20061218,279.99,281,279,279.07,605551
20061219,280.74,281,279,279.23,381075
20061220,280.82,281,279,279.49,611127
20061223,281.58,282,280,279.74,512791
20061224,282,285,280,280.16,654477
20061225,282.41,282,281,280.74,1145209
20061226,282.41,283,281,281.08,689742
20061227,283.25,283,281,281.33,1565679
20061230,283.25,283,279,281.49,1359230
20070101,283.67,284,282,281.75,484476
20070102,284.09,284,282,282.08,558219
20070103,284.51,285,282,282.41,535497
20070106,284.92,285,283,282.75,509087
20070107,285.34,285,283,283,411143
20070109,285.76,286,283,283.34,487864
20070110,286.18,286,284,283.75,626440
20070113,286.6,287,284,284.17,596323
20070114,287.02,287,285,284.59,559650
20070115,287.44,288,285,285.18,807479
